,brand,name,bodytype,color,fueltype,year,mileage,transmission,power,price,power_average,price_average,year_average,branding,Color,trms,fuel,power_avrg_brand,price_avrg_brand,luxury
0,BMW,5-Series,Седан,Синий,Бензин,2011,176000,АКПП,245,1980000,206.0,1883933,2005.0,BMW,blue,2,1,241,3422132,5.379293645796605
1,BMW,5-Series,Седан,Серый,Бензин,2003,312000,АКПП,170,550000,206.0,1883933,2005.0,BMW,blue,2,1,241,3422132,5.379293645796605
2,Opel,Astra,Хэтчбек 5 дв.,Черный,Бензин,2008,153000,АКПП,115,700000,121.0,570028,2008.0,Other,gray,2,1,127,632471,1.5195847113675547
3,BMW,7-Series,Седан,Черный,Бензин,2006,215000,АКПП,306,605000,319.0,3245854,2006.0,BMW,blue,2,1,241,3422132,5.379293645796605
4,Opel,Omega,Седан,Белый,Дизель,1994,372000,Автомат,150,258000,138.0,178290,1994.0,Other,gray,2,2,127,632471,1.5195847113675547
5,BMW,3-Series,Седан,Серебристый,Бензин,2005,66000,АКПП,258,3450000,169.0,1467144,2005.0,BMW,blue,2,1,241,3422132,5.379293645796605
6,BMW,3-Series,Седан,Черный,Бензин,1998,120000,Механика,170,405000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
7,Mercedes-Benz,C-Class,Седан,Черный,Бензин,2007,159000,АКПП,156,1130000,170.0,1423221,2007.0,Mercedes,red,2,1,244,3895624,5.930234501970924
8,Mitsubishi,Colt,Хэтчбек 5 дв.,Синий,Бензин,2003,319000,Робот,95,340000,95.0,346565,2003.0,Other,gray,2,1,144,1260767,2.3336037998930204
9,Mitsubishi,Galant,Седан,Черный,Бензин,1997,255000,АКПП,150,210000,147.0,263687,1997.0,Other,gray,2,1,144,1260767,2.3336037998930204
10,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,56000,Механика,150,1089000,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
11,Opel,Corsa,Хэтчбек 5 дв.,Серебристый,Бензин,2004,213000,Механика,60,180000,86.0,355389,2002.0,Other,gray,1,1,127,632471,1.5195847113675547
12,Opel,Vectra,Универсал,Черный,Дизель,1997,345000,Механика,100,220000,121.0,257236,1997.0,Other,gray,1,2,127,632471,1.5195847113675547
13,Mazda,Mazda6,Седан,Синий,Бензин,2007,250000,Механика,120,480000,158.0,1533534,2010.0,Other,gray,1,1,139,1175520,2.2059963872638892
14,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,56000,Механика,150,1110000,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
15,Mercedes-Benz,V-Class,Минивэн,Белый,Дизель,2014,160000,АКПП,163,2880000,198.0,8683737,2014.0,Mercedes,red,2,2,244,3895624,5.930234501970924
16,Mercedes-Benz,Vito,Минивэн,Белый,Дизель,2004,258000,Механика,109,830000,137.0,2406260,2004.0,Mercedes,red,1,2,244,3895624,5.930234501970924
17,BMW,7-Series,Седан,Синий,Бензин,2003,239000,АКПП,445,810000,319.0,3245854,2006.0,BMW,blue,2,1,241,3422132,5.379293645796605
18,Mercedes-Benz,V-Class,Минивэн,Белый,Дизель,2014,160000,АКПП,163,2798000,198.0,8683737,2014.0,Mercedes,red,2,2,244,3895624,5.930234501970924
19,Mercedes-Benz,Vito,Минивэн,Белый,Дизель,2004,258000,Механика,109,1043000,137.0,2406260,2004.0,Mercedes,red,1,2,244,3895624,5.930234501970924
20,Mercedes-Benz,Vito,Минивэн,Белый,Дизель,2004,258000,Механика,109,798000,137.0,2406260,2004.0,Mercedes,red,1,2,244,3895624,5.930234501970924
21,Mercedes-Benz,GLS-Class,Джип 5 дв.,Черный,Дизель,2016,85000,АКПП,249,6000000,363.0,12974283,2017.0,Mercedes,red,2,2,244,3895624,5.930234501970924
22,Honda,Fit,Хэтчбек 5 дв.,Серебристый,Бензин,2001,250000,Вариатор,86,350000,100.0,764819,2011.0,Other,gray,2,1,124,902137,1.8033586611404546
23,Chery,Fora A21,Седан,Голубой,Бензин,2007,282000,Механика,128,205000,126.0,209206,2007.0,Other,gray,1,1,148,2552495,3.80995864778571
24,Chery,Tiggo T11,Джип 5 дв.,Серый,Бензин,2015,120000,Механика,132,600000,128.0,485576,2010.0,Other,gray,1,1,148,2552495,3.80995864778571
25,Renault,Megane,Седан,Красный,Бензин,2006,220000,Механика,113,400000,109.0,534080,2006.0,Other,gray,1,1,108,980836,1.7898077119999733
26,Москвич,3,Джип 5 дв.,Черный,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
27,Mazda,Mazda3 MPS,Хэтчбек 5 дв.,Голубой,Бензин,2006,250000,Механика,260,650000,260.0,569625,2006.0,Other,gray,1,1,139,1175520,2.2059963872638892
28,Honda,Shuttle,Универсал,Белый,Бензин,2016,87000,Робот,110,990000,112.0,1131385,2016.0,Other,gray,2,1,124,902137,1.8033586611404546
29,Honda,Stepwgn,Минивэн,Серый,Бензин,2013,125000,Вариатор,150,1320000,149.0,1503000,2013.0,Other,gray,2,1,124,902137,1.8033586611404546
30,Honda,Shuttle,Универсал,Белый,Бензин,2016,87000,Робот,110,970000,112.0,1131385,2016.0,Other,gray,2,1,124,902137,1.8033586611404546
31,Honda,Shuttle,Универсал,Белый,Бензин,2016,87000,Робот,110,999000,112.0,1131385,2016.0,Other,gray,2,1,124,902137,1.8033586611404546
32,Honda,Stepwgn,Минивэн,Серый,Бензин,2013,125000,Вариатор,150,1545000,149.0,1503000,2013.0,Other,gray,2,1,124,902137,1.8033586611404546
33,Mercedes-Benz,C-Class,Универсал,Бордовый,Бензин,2005,284000,АКПП,231,380000,170.0,1423221,2007.0,Mercedes,red,2,1,244,3895624,5.930234501970924
34,Daewoo,Nexia,Седан,Белый,Бензин,2005,218000,Механика,109,190000,88.0,190445,2005.0,Other,gray,1,1,76,203602,0.7129274778710997
35,BMW,7-Series,Седан,Черный,Бензин,2006,247000,АКПП,367,790000,319.0,3245854,2006.0,BMW,blue,2,1,241,3422132,5.379293645796605
36,SsangYong,Musso,Джип 5 дв.,Белый,Бензин,1996,400000,АКПП,218,349000,119.0,347759,1996.0,Other,gray,2,1,150,875276,1.9388500577965462
37,Honda,Freed Spike,Минивэн,Серебристый,Бензин,2014,99000,Вариатор,118,999000,106.0,920683,2011.0,Other,gray,2,1,124,902137,1.8033586611404546
38,ГАЗ,31029 Волга,Седан,Серый,Бензин,1992,90000,Механика,90,55000,94.0,93537,1992.0,ГАЗ,orange,1,1,107,240077,0.9514158596118298
39,Kia,Sorento,Джип 5 дв.,Черный,Дизель,2014,292000,АКПП,170,900000,187.0,2725290,2014.0,Other,gray,2,2,147,1907337,3.0789458051954295
40,Honda,Civic,Седан,Белый,Бензин,2005,135000,Автомат,90,375000,130.0,652120,2005.0,Other,gray,2,1,124,902137,1.8033586611404546
41,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
42,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
43,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
44,Москвич,3,Джип 5 дв.,Красный,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
45,Москвич,3,Джип 5 дв.,Серый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
46,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
47,Suzuki,Ignis,Хэтчбек 5 дв.,Серебристый,Бензин,2006,150000,АКПП,99,555000,91.0,782558,2013.0,Other,gray,2,1,102,803302,1.5521719708123631
48,Mitsubishi,Lancer,Седан,Синий,Бензин,2005,300000,Механика,98,305000,112.0,470884,2005.0,Other,gray,1,1,144,1260767,2.3336037998930204
49,Mitsubishi,Lancer,Седан,Синий,Бензин,2005,300000,Механика,98,365000,112.0,470884,2005.0,Other,gray,1,1,144,1260767,2.3336037998930204
50,Suzuki,Ignis,Хэтчбек 5 дв.,Серебристый,Бензин,2006,150000,АКПП,99,500000,91.0,782558,2013.0,Other,gray,2,1,102,803302,1.5521719708123631
51,Renault,Scenic,Хэтчбек 5 дв.,Белый,Дизель,2004,164000,Механика,110,1290000,113.0,654412,2004.0,Other,gray,1,2,108,980836,1.7898077119999733
52,Mercedes-Benz,C-Class,Седан,Бежевый,Бензин,2011,5000,АКПП,156,1300000,170.0,1423221,2007.0,Mercedes,red,2,1,244,3895624,5.930234501970924
53,Renault,Scenic,Хэтчбек 5 дв.,Белый,Дизель,2004,164000,Механика,110,1250000,113.0,654412,2004.0,Other,gray,1,2,108,980836,1.7898077119999733
54,EXEED,VX,Джип 5 дв.,Черный,Бензин,2021,0,Робот,249,5249900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
55,EXEED,VX,Джип 5 дв.,Зеленый,Бензин,2022,0,Робот,249,5649900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
56,EXEED,VX,Джип 5 дв.,Белый,Бензин,2021,0,Робот,249,5249900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
57,Renault,Scenic,Хэтчбек 5 дв.,Белый,Дизель,2004,164000,Механика,110,1198000,113.0,654412,2004.0,Other,gray,1,2,108,980836,1.7898077119999733
58,BMW,3-Series,Седан,Синий,Бензин,1993,418000,Механика,102,320000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
59,Honda,Fit,Хэтчбек 5 дв.,Белый,Бензин,2011,250000,Вариатор,86,400000,100.0,764819,2011.0,Other,gray,2,1,124,902137,1.8033586611404546
60,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,695000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
61,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,720000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
62,BMW,3-Series,Седан,Синий,Бензин,1993,418000,Механика,102,300000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
63,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,680000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
64,BMW,3-Series,Седан,Синий,Бензин,1993,418000,Механика,102,250000,169.0,1467144,2005.0,BMW,blue,1,1,241,3422132,5.379293645796605
65,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,650000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
66,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,635000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
67,Honda,N-WGN,Хэтчбек 5 дв.,Белый,Бензин,2013,89000,Вариатор,58,655000,59.0,687765,2014.0,Other,gray,2,1,124,902137,1.8033586611404546
68,Kia,Seltos,Джип 5 дв.,Серый,Бензин,2020,13000,Вариатор,149,2500000,141.0,2503267,2019.0,Other,gray,2,1,147,1907337,3.0789458051954295
69,Opel,Astra,Хэтчбек 5 дв.,Черный,Бензин,2008,84000,Механика,115,560000,121.0,570028,2008.0,Other,gray,1,1,127,632471,1.5195847113675547
70,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,25000,Автомат,149,1498000,139.0,1116561,2015.0,Other,gray,2,1,120,799650,1.6627588889375606
71,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,25000,Автомат,149,1398900,139.0,1116561,2015.0,Other,gray,2,1,120,799650,1.6627588889375606
72,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,25000,Автомат,149,1350000,139.0,1116561,2015.0,Other,gray,2,1,120,799650,1.6627588889375606
73,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,25000,Автомат,149,1370000,139.0,1116561,2015.0,Other,gray,2,1,120,799650,1.6627588889375606
74,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,25000,Автомат,149,1325000,139.0,1116561,2015.0,Other,gray,2,1,120,799650,1.6627588889375606
75,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,23000,Механика,150,1290000,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
76,Москвич,3,Джип 5 дв.,Красный,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
77,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
78,Renault,Megane,Хэтчбек 5 дв.,Черный,Бензин,2002,290000,Механика,98,300000,109.0,534080,2006.0,Other,gray,1,1,108,980836,1.7898077119999733
79,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,23000,Механика,150,1370000,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
80,EXEED,VX,Джип 5 дв.,Серый,Бензин,2021,0,Робот,249,5279900,249.0,5180187,2021.0,Other,gray,2,1,190,4131198,5.850764606715805
81,Москвич,3,Джип 5 дв.,Красный,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
82,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
83,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
84,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
85,Москвич,3,Джип 5 дв.,Красный,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
86,Москвич,3,Джип 5 дв.,Серый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
87,Honda,City,Седан,Черный,Бензин,1998,95000,Вариатор,108,350000,88.0,245688,1998.0,Other,gray,2,1,124,902137,1.8033586611404546
88,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
89,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
90,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
91,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,23000,Механика,150,1350000,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
92,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
93,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2035000,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
94,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,23000,Механика,150,1320000,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
95,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,23000,Механика,150,1371500,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
96,УАЗ,Патриот,Джип 5 дв.,Белый,Бензин,2015,23000,Механика,150,1399800,139.0,1116561,2015.0,Other,gray,1,1,120,799650,1.6627588889375606
97,Москвич,3,Джип 5 дв.,Белый,Бензин,2021,0,Вариатор,150,2040219,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
98,Москвич,3,Джип 5 дв.,Голубой,Бензин,2021,0,Вариатор,150,2040219,149.0,1807147,2021.0,Other,gray,2,1,142,1656052,2.764844568978496
99,Suzuki,Swift,Хэтчбек 5 дв.,Красный,Бензин,2010,223000,АКПП,88,300000,93.0,654294,2010.0,Other,gray,2,1,102,803302,1.5521719708123631
